Time,cpu,diskio,diskioRead,diskioWritten,mem,networkReceived,networkTransmitted,replica,requests,responsetime,totalcpu,totalcpuUtilization,totalmemory,totalmemoryUtilization
2020-10-06 12:09:32.089,9.269305071630926,0.009201893333333306,0.0,62709.951146666666,0.020170211791992188,2227.122608888889,10935.28676888889,1.0,33.0,0.421016855,6.0,70.46616373376835,12404576256.0,36.35831863114632
2020-10-06 12:09:47.089,13.693644844431596,0.013155555555555528,12652.088888888888,87017.24444444444,0.020170211791992188,6186.155555555555,20742.62222222222,1.0,68.0,0.420651273,6.0,70.46616373376835,12404576256.0,36.35831863114632
2020-10-06 12:10:02.089,18.574331549635005,0.017162038992508406,12656.870373252117,110178.51188226664,0.47621726989746094,6318.764866727431,25586.86614943423,1.0,104.0,0.427818707,6.0,16.3777777777778,12404576256.0,37.52301911763103
2020-10-06 12:10:17.089,18.59694893067977,0.01786666666666671,12652.088888888888,121787.73333333334,0.47621726989746094,6318.888888888889,26457.666666666668,1.0,138.0,0.438439138,6.0,16.3777777777778,12404576256.0,37.52301911763103
2020-10-06 12:10:32.089,18.613681202607214,0.01706666666666668,0.0,112321.42222222222,0.4357337951660156,3168.4888888888886,19608.6,1.0,140.0,0.424799889,6.0,27.98333333333328,12404576256.0,37.63951393133344
2020-10-06 12:10:47.089,18.613681202607214,0.01208888888888882,0.0,81555.9111111111,0.4357337951660156,2853.8888888888887,12743.244444444445,1.0,139.0,0.433599276,6.0,27.98333333333328,12404576256.0,37.63951393133344
2020-10-06 12:11:02.089,24.981640059314977,0.011555555555555467,0.0,64079.64444444444,0.2167224884033203,3045.911111111111,12601.177777777777,1.0,138.0,0.427955969,6.0,27.194444444444443,12404576256.0,37.78835190547278
2020-10-06 12:11:17.089,24.981640059314977,0.011377777777777787,0.0,59346.48888888888,0.2167224884033203,2887.3333333333335,12300.577777777777,1.0,168.0,0.452771164,6.0,27.194444444444443,12404576256.0,37.78835190547278
2020-10-06 12:11:47.089,36.80342841998602,0.011911111111111141,0.0,59892.62222222222,0.5233287811279297,3201.111111111111,12907.62222222222,1.0,200.0,0.43654533300000004,6.0,27.951051705023872,12404576256.0,37.10637185025662
2020-10-06 12:12:17.089,41.667658040466,0.011466666666666785,0.0,62168.177777777775,0.5233287811279297,3189.911111111111,13339.266666666666,1.0,235.0,0.442068212,6.0,27.951051705023872,12404576256.0,37.10637185025662
2020-10-06 12:12:32.089,41.667658040466,0.010222222222222082,0.0,63078.4,0.5233287811279297,3750.311111111111,13320.644444444444,1.0,268.0,0.429734661,6.0,29.572222222222265,12404576256.0,36.7713006705386
2020-10-06 12:12:47.089,45.685207808507194,0.01048888888888876,0.0,65536.0,0.2762794494628906,3934.511111111111,13236.422222222222,1.0,285.0,0.58849441,6.0,29.572222222222265,12404576256.0,36.7713006705386
2020-10-06 12:13:02.089,45.685207808507194,0.010400000000000078,0.0,66082.13333333333,0.2762794494628906,4495.888888888889,13263.933333333332,1.0,301.0,0.532297103,6.0,41.07777777777785,12404576256.0,36.832965654832606
2020-10-06 12:13:17.089,45.88829900480272,0.01111111111111111,0.0,65627.02222222222,0.19445419311523438,4345.511111111111,13561.488888888887,1.0,314.0,0.5255568660000001,6.0,41.07777777777785,12404576256.0,36.832965654832606
2020-10-06 12:13:32.089,46.34029774473373,0.010933333333333432,0.0,65809.06666666667,0.19445419311523438,7457.866666666667,16269.31111111111,1.0,331.0,0.525168651,6.0,46.41111111111113,12404576256.0,37.232425974777286
2020-10-06 12:13:47.089,46.96224331330315,0.01128888888888879,0.0,62896.35555555555,0.3986835479736328,7497.044444444444,16948.977777777778,1.0,332.0,0.705166955,6.0,46.41111111111113,12404576256.0,37.232425974777286
2020-10-06 12:14:02.089,46.590336563977715,0.01075555555555575,0.0,66810.3111111111,0.41871070861816406,7932.377777777777,17462.4,1.0,331.0,0.637032373,6.0,52.50555555555558,12404576256.0,37.261153437339956
2020-10-06 12:14:17.089,45.712342566216556,0.00871111111111102,0.0,61622.044444444444,1.2601375579833984,5223.333333333333,15245.4,3.0,334.0,0.729778228,6.0,52.50555555555558,12404576256.0,37.261153437339956
2020-10-06 12:14:32.089,0.02184563260489464,0.011822222222222144,0.0,82102.04444444443,1.1021614074707031,5860.066666666667,20602.866666666665,3.0,331.0,0.675848322,6.0,54.772222222222176,12404576256.0,37.294289079502754
2020-10-06 12:14:47.089,46.38175372854678,0.01404444444444424,0.0,88928.7111111111,1.1426448822021484,5891.711111111111,23341.31111111111,5.0,334.0,0.608341641,6.0,54.772222222222176,12404576256.0,37.294289079502754
2020-10-06 12:15:02.089,0.036507751582707026,0.016088888888888972,0.0,98577.06666666667,1.454782485961914,6098.866666666667,23784.355555555554,5.0,335.0,1.227885029,6.0,64.32222222222228,12404576256.0,38.45141145948388
2020-10-06 12:15:17.089,46.24075604090391,0.017244444444444357,0.0,102582.04444444443,1.4633655548095703,6120.0888888888885,26496.91111111111,5.0,330.0,0.698576137,6.0,64.32222222222228,12404576256.0,38.45141145948388
2020-10-06 12:15:32.089,46.25148930283783,0.015020887032263843,0.0,96657.00826593193,1.4633655548095703,6108.812549995556,23039.752022042485,7.0,332.0,0.956971897,6.0,61.66111111111115,12404576256.0,37.76254671927424
2020-10-06 12:15:47.089,47.390295143431096,0.016622222222222326,0.0,108589.5111111111,1.2451171875,6318.244444444444,28651.088888888888,7.0,325.0,0.516133729,6.0,61.66111111111115,12404576256.0,37.76254671927424
2020-10-06 12:16:02.089,47.35645652392048,0.013511111111111201,0.0,96392.53333333334,1.2888431549072266,5988.466666666666,23016.577777777777,7.0,323.0,0.591879045,6.0,58.37222222222223,12404576256.0,38.42154480444028
2020-10-06 12:16:17.089,54.9450497082693,0.013423415414703512,0.0,92486.79882656237,1.5514850616455078,5835.718730553827,23830.22935372033,9.0,327.0,0.653773051,6.0,58.37222222222223,12404576256.0,38.42154480444028
2020-10-06 12:16:32.089,58.85199272505417,0.016711111111111007,0.0,104038.4,1.5549659729003906,6026.4222222222215,25272.266666666666,9.0,320.0,1.152475729,6.0,57.668130994360055,12404576256.0,39.035520021555506
2020-10-06 12:16:47.089,64.76104991993634,0.01555555555555562,0.0,93388.8,1.4164924621582031,5689.844444444444,23060.466666666667,11.0,353.0,0.425712567,6.0,57.668130994360055,12404576256.0,39.035520021555506
2020-10-06 12:17:02.089,63.24424788349059,0.016711111111111322,0.0,96028.44444444444,1.4390945434570312,5740.6,22165.2,11.0,391.0,1.315959401,6.0,57.68333333333339,12404576256.0,39.028486746238436
2020-10-06 12:17:17.089,69.31948444179444,0.017244444444444357,0.0,94116.97777777776,1.9050121307373047,5747.333333333333,23206.177777777775,11.0,423.0,1.2627266890000002,6.0,57.68333333333339,12404576256.0,39.028486746238436
2020-10-06 12:17:32.089,56.38532783135797,0.018044444444444387,0.0,95664.35555555555,2.0172595977783203,6378.155555555555,22832.688888888886,13.0,460.0,1.2339401190000001,6.0,58.22222222222217,12404576256.0,39.7699029308946
2020-10-06 12:17:47.089,68.05633236492771,0.022311111111110903,0.0,117054.57777777777,2.380704879760742,7158.977777777777,30243.82222222222,13.0,487.0,0.490244692,6.0,58.22222222222217,12404576256.0,39.7699029308946
2020-10-06 12:18:02.089,64.98608568393277,0.018044444444444387,5916.444444444443,169301.33333333334,2.4736404418945312,7272.533333333334,24614.555555555555,13.0,516.0,0.42017236,6.0,70.90555555555562,12404576256.0,40.64901281542011
2020-10-06 12:18:17.089,82.10361996405713,0.01626666666666665,5916.444444444443,170029.5111111111,2.667236328125,7314.51111111111,25732.6,15.0,551.0,0.425960984,6.0,70.90555555555562,12404576256.0,40.64901281542011
