Time,cpu,diskio,diskioRead,diskioWritten,mem,networkReceived,networkTransmitted,replica,requests,responsetime,totalcpu,totalcpuUtilization,totalmemory,totalmemoryUtilization
2020-10-24 10:10:55.595,0.002881879066921378,0.011288888888888949,0.0,66628.26666666666,0.004780292510986328,1270.511111111111,11444.711111111108,1.0,1.0,3.079578915,24.0,2.52916666666661,101189603328.0,5.927450120105682
2020-10-24 10:11:10.595,0.0018419913561851,0.010755555555555595,0.0,62441.24444444443,0.004655122756958008,2541.0444444444447,15175.244444444443,1.0,1.0,3.079578915,24.0,2.629166666666693,101189603328.0,5.877643390617242
2020-10-24 10:11:25.595,0.0018824725593133448,0.011022222222222112,0.0,63988.62222222223,0.004655122756958008,4058.444444444444,14906.02222222222,1.0,2.0,2.920518667,24.0,2.629166666666693,101189603328.0,5.877643390617242
2020-10-24 10:11:40.595,0.06700819657048683,0.010133333333333244,0.0,62441.24444444443,0.007271766662597656,4091.644444444444,17284.577777777777,1.0,3.0,2.8374070939999996,24.0,2.4375000000000373,101189603328.0,5.882282222913865
2020-10-24 10:11:55.595,0.07653593680155278,0.011644444444444306,0.0,67356.44444444444,0.007271766662597656,3029.3777777777777,14079.888888888889,1.0,3.0,3.025464447,24.0,2.4375000000000373,101189603328.0,5.882282222913865
2020-10-24 10:12:10.595,0.06030765102167726,0.011644444444444464,0.0,67174.4,0.0076711177825927734,1648.4,14904.377777777778,1.0,4.0,2.880478475,24.0,2.8222222222221927,101189603328.0,5.905191011205933
2020-10-24 10:12:25.595,0.05992919164281363,0.012355555555555654,0.0,70087.11111111111,0.0076711177825927734,1781.5555555555554,13128.955555555554,1.0,5.0,2.9160429,24.0,2.8222222222221927,101189603328.0,5.905191011205933
2020-10-24 10:12:40.595,0.1447416320837894,0.012622222222222331,0.0,66992.35555555555,0.008875131607055664,1891.377777777777,16562.466666666667,1.0,6.0,2.838364869,24.0,3.2263888888889314,101189603328.0,5.9151122834214815
2020-10-24 10:12:55.595,0.14474163208378935,0.012711111111111171,0.0,68630.75555555553,0.008875131607055664,2009.4444444444446,14710.511111111111,1.0,8.0,2.8460779,24.0,3.2263888888889314,101189603328.0,5.9151122834214815
2020-10-24 10:13:10.595,0.1543535210521166,0.012177777777777659,0.0,65171.91111111111,0.009292364120483398,2006.5111111111112,17023.066666666666,1.0,8.0,2.88524991,24.0,3.4041666666667187,101189603328.0,5.913278608874911
2020-10-24 10:13:25.595,0.1543535210521166,0.011199999999999951,0.0,67629.5111111111,0.009292364120483398,2001.022222222222,14462.311111111108,1.0,9.0,2.843737592,24.0,3.4041666666667187,101189603328.0,5.913278608874911
2020-10-24 10:13:40.595,0.2794299657443188,0.011022222222222112,0.0,68721.77777777777,0.010025501251220705,2047.1333333333332,17329.133333333335,1.0,11.0,2.8749265740000003,24.0,3.5083333333333853,101189603328.0,5.913794709326763
2020-10-24 10:13:55.595,0.2794299657443188,0.011288888888888949,0.0,70451.2,0.010025501251220705,2139.555555555556,15365.888888888889,1.0,11.0,2.8579348739999997,24.0,3.5083333333333853,101189603328.0,5.913794709326763
2020-10-24 10:14:10.595,0.32129788436138457,0.010488888888888916,0.0,65353.95555555555,0.010395050048828123,2179.266666666667,17355.55555555556,1.0,12.0,2.879764766,24.0,3.836111111111124,101189603328.0,5.911372073088082
2020-10-24 10:14:25.595,0.32129788436138457,0.011911111111111141,0.0,67265.42222222223,0.010395050048828123,2270.755555555555,15217.111111111111,1.0,14.0,2.781696387,24.0,3.836111111111124,101189603328.0,5.911372073088082
2020-10-24 10:14:40.595,0.3812928856861333,0.012444444444444496,0.0,67993.6,0.039523839950561516,2340.022222222222,18244.62222222222,1.0,15.0,2.81352516,24.0,4.113888888888861,101189603328.0,5.901353652552189
2020-10-24 10:14:55.595,0.3812928856861333,0.01297777777777769,0.0,71998.57777777777,0.039523839950561516,2344.911111111111,16077.577777777777,1.0,15.0,2.8233487630000003,24.0,4.113888888888861,101189603328.0,5.901353652552189
2020-10-24 10:15:10.595,0.4403559246787694,0.011377777777777787,0.0,66173.15555555555,0.011342763900756836,2414.3777777777773,18431.33333333333,1.0,18.0,2.8984950520000003,24.0,4.420833333333329,101189603328.0,5.873696740103102
2020-10-24 10:15:25.595,0.4403559246787694,0.010933333333333272,455.11111111111114,68721.77777777777,0.011342763900756836,2450.0,15581.444444444443,1.0,18.0,2.8542948939999997,24.0,4.420833333333329,101189603328.0,5.873696740103102
2020-10-24 10:15:40.595,0.4465332171344609,0.01111111111111111,455.11111111111114,132710.4,0.03039240837097168,2547.266666666667,18832.488888888893,1.0,18.0,2.872074987,24.0,4.622222222222238,101189603328.0,5.896708748485546
2020-10-24 10:15:55.595,0.4465332171344609,0.01022222222222224,455.11111111111114,134894.93333333332,0.03039240837097168,2573.822222222222,16360.111111111111,1.0,21.0,2.8764783360000004,24.0,4.622222222222238,101189603328.0,5.896708748485546
2020-10-24 10:16:10.595,0.5562720827278488,0.00880000000000002,0.0,126611.9111111111,0.012242794036865234,4046.177777777778,20302.266666666666,1.0,21.0,2.8015533230000003,24.0,4.973611111111166,101189603328.0,5.889890150751119
2020-10-24 10:16:25.595,0.5562720827278488,0.007200000000000114,0.0,59255.46666666668,0.012242794036865234,5571.644444444444,18603.24444444444,1.0,22.0,2.898523743,24.0,4.973611111111166,101189603328.0,5.889890150751119
2020-10-24 10:16:40.595,0.5398161886157401,0.007911111111111148,5916.444444444443,57344.0,0.0315248966217041,5722.333333333332,21914.022222222226,1.0,23.0,2.8796585070000003,24.0,5.2958333333333565,101189603328.0,5.901195786531629
2020-10-24 10:16:55.595,0.5398161886157401,0.0074666666666666345,5916.444444444443,60165.688888888886,0.0315248966217041,4386.866666666667,18445.733333333334,1.0,24.0,2.885475615,24.0,5.2958333333333565,101189603328.0,5.901195786531629
2020-10-24 10:17:10.595,0.6622623741009672,0.00782222222222215,5916.444444444443,66628.26666666666,0.01621842384338379,2807.3555555555554,19511.88888888889,1.0,25.0,2.84459082,24.0,5.627777777777821,101189603328.0,5.9076318627546796
2020-10-24 10:17:25.595,0.6622623741009672,0.0074666666666666345,91.0222222222222,65171.91111111111,0.01621842384338379,2785.822222222222,16467.066666666666,1.0,26.0,2.9085403710000004,24.0,5.627777777777821,101189603328.0,5.9076318627546796
2020-10-24 10:17:40.595,0.7343763644656821,0.0074666666666666345,91.0222222222222,62623.288888888885,0.02971887588500977,2835.6888888888884,18639.13333333333,1.0,27.0,2.819657159,24.0,5.791666666666745,101189603328.0,5.944487506786728
2020-10-24 10:17:55.595,0.7343763644656821,0.007822222222222308,91.0222222222222,57344.0,0.02971887588500977,3012.066666666666,16393.266666666666,1.0,29.0,2.835094358,24.0,5.791666666666745,101189603328.0,5.944487506786728
2020-10-24 10:18:10.595,0.7311616551967893,0.007288888888888955,0.0,53612.08888888888,0.013023614883422852,3000.133333333333,18575.4,1.0,29.0,2.8290055589999996,24.0,6.066666666666665,101189603328.0,5.902179413275144
2020-10-24 10:18:25.595,0.7311616551967893,0.008088888888888984,0.0,55705.6,0.013023614883422852,3173.444444444445,16477.288888888892,1.0,30.0,2.86330177,24.0,6.066666666666665,101189603328.0,5.902179413275144
2020-10-24 10:18:40.595,0.8285096934188975,0.006755555555555443,0.0,53703.11111111112,0.013065338134765623,3352.866666666667,20392.955555555556,1.0,33.0,2.838861653,24.0,6.293055555555571,101189603328.0,5.9164480728262685
2020-10-24 10:18:55.595,0.8285096934188975,0.006577777777777764,0.0,57435.022222222215,0.013065338134765623,3405.6888888888884,18159.8,1.0,32.0,2.91785996,24.0,6.293055555555571,101189603328.0,5.9164480728262685
2020-10-24 10:19:10.595,0.8325006120475495,0.005422222222222217,0.0,54977.422222222216,0.011926889419555664,3305.866666666667,20685.377777777776,1.0,33.0,10.877797953,24.0,6.618055555555574,101189603328.0,5.8834115721379145
2020-10-24 10:19:25.595,0.8325006120475495,0.006133333333333407,0.0,58072.177777777775,0.011926889419555664,3243.866666666667,17480.42222222222,1.0,35.0,10.877797953,24.0,6.618055555555574,101189603328.0,5.8834115721379145
2020-10-24 10:19:40.595,0.6959559720458096,0.006311111111111087,0.0,57799.11111111112,0.030493736267089844,3306.8444444444444,20598.266666666666,1.0,34.0,10.877797953,24.0,6.763888888888892,101189603328.0,5.938342875524706
2020-10-24 10:19:55.595,0.7029576577476178,0.006666666666666603,0.0,58709.33333333334,0.030493736267089844,3375.911111111111,18115.17777777777,1.0,36.0,10.877797953,24.0,6.763888888888892,101189603328.0,5.938342875524706
2020-10-24 10:20:10.595,0.9985656661621868,0.0060444444444444105,0.0,53521.06666666666,0.031030178070068363,3355.866666666667,19879.266666666666,1.0,39.0,10.877797953,24.0,7.108333333333478,101189603328.0,5.91234355629156
2020-10-24 10:20:25.595,0.9985656661621868,0.005511111111111056,0.0,52701.86666666667,0.031030178070068363,3559.911111111111,16848.777777777777,1.0,38.0,10.877797953,24.0,7.108333333333478,101189603328.0,5.91234355629156
2020-10-24 10:20:40.595,1.0108163291848011,0.005511111111111056,0.0,53339.022222222215,0.04971623420715332,3643.066666666666,19400.644444444442,1.0,41.0,10.877797953,24.0,7.402777777777757,101189603328.0,5.913764350476653
2020-10-24 10:20:55.595,1.0108163291848011,0.009955555555555565,0.0,67902.57777777777,0.04971623420715332,4331.288888888888,25561.755555555555,1.0,42.0,10.877797953,24.0,7.402777777777757,101189603328.0,5.913764350476653
2020-10-24 10:21:10.595,1.0964874323816682,0.023466666666666764,0.0,148730.3111111111,0.05702376365661621,8171.444444444443,68490.66666666669,5.0,41.0,10.877797953,24.0,11.373611111111071,101189603328.0,5.973753438291568
2020-10-24 10:21:25.595,1.0964874323816682,0.03342222222222233,0.0,217270.04444444444,0.06492137908935547,10882.377777777778,87695.97777777776,5.0,44.0,10.877797953,24.0,11.373611111111071,101189603328.0,5.973753438291568
2020-10-24 10:21:40.595,0.5775595965753489,0.030666666666666724,0.0,207530.66666666663,0.05654096603393555,10790.733333333334,84972.02222222222,9.0,44.0,10.877797953,24.0,18.062500000000004,101189603328.0,6.168639040679769
2020-10-24 10:21:55.595,1.0177521663553928,0.036622222222222285,0.0,232743.8222222222,0.046896934509277344,10144.688888888888,93080.37777777776,9.0,44.0,10.877797953,24.0,18.062500000000004,101189603328.0,6.168639040679769
2020-10-24 10:22:10.595,1.2355692274075083,0.02648888888888873,0.0,161837.5111111111,0.04972219467163086,7452.6,73961.35555555555,9.0,47.0,10.877797953,24.0,11.640277777777802,101189603328.0,6.3286119654428825
2020-10-24 10:22:25.595,1.4057393768114743,0.02933333333333318,0.0,198883.55555555553,0.08428692817687987,8377.533333333333,89687.77777777777,13.0,47.0,10.877797953,24.0,11.640277777777802,101189603328.0,6.3286119654428825
2020-10-24 10:22:40.595,0.6591224103672106,0.024355555555555318,0.0,168209.06666666668,0.08924603462219237,7273.822222222222,72901.2,13.0,47.0,10.877797953,24.0,12.83472222222234,101189603328.0,6.540595672212341
2020-10-24 10:22:55.595,0.4769280445781235,0.024622222222222316,0.0,172669.15555555554,0.07330775260925293,7398.8,70481.75555555553,13.0,51.0,10.877797953,24.0,12.83472222222234,101189603328.0,6.540595672212341
2020-10-24 10:23:10.595,1.3138590489960118,0.03920000000000022,0.0,235565.5111111111,0.10719895362854004,9354.666666666666,106826.2,17.0,50.0,10.877797953,24.0,13.105555555555629,101189603328.0,6.678904521537842
